更新时间,#genre#
20260214 02:52:00,https://v.cdnlz12.com/20250131/18183_a5e8965b/index.m3u8
每日一首,http://em.21dtv.com/songs/60108396.mkv


💓组播专享频道,#genre#
央视频道,#genre#
CCTV4K超高清,http://175.8.180.226:7878/udp/239.76.254.101:9000
CCTV4K超高清,http://175.8.180.226:7878/udp/239.76.254.64:9000
CCTV4K超高清,http://58.46.70.66:8188/udp/239.76.254.101:9000
CCTV4K超高清,http://58.46.70.66:8188/udp/239.76.254.64:9000
CCTV4K超高清,http://58.48.104.165:4022/rtp/239.69.1.12:9712
CCTV4K超高清,http://113.119.26.196:58888/udp/239.77.0.194:5146
CCTV4K超高清,http://113.119.26.196:58888/udp/239.77.0.174:5146
CCTV4K超高清,http://114.100.195.156:4022/rtp/238.1.78.137:6968
CCTV4K超高清,http://121.29.141.237:4022/rtp/239.253.92.219:6228
CCTV4K超高清,http://121.29.141.237:4022/rtp/239.253.93.134:6631
CCTV4K超高清,http://106.59.2.187:55555/rtp/239.200.200.202:8784
CCTV4中文国际欧洲,http://175.8.180.226:7878/udp/239.76.253.95:9000
CCTV4中文国际欧洲,http://175.8.180.226:7878/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://58.46.70.66:8188/udp/239.76.253.95:9000
CCTV4中文国际欧洲,http://58.46.70.66:8188/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://58.48.104.165:4022/rtp/239.69.1.231:11028
CCTV4中文国际美洲,http://175.8.180.226:7878/udp/239.76.253.96:9000
CCTV4中文国际美洲,http://175.8.180.226:7878/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://58.46.70.66:8188/udp/239.76.253.96:9000
CCTV4中文国际美洲,http://58.46.70.66:8188/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://58.48.104.165:4022/rtp/239.69.1.232:11034
CCTV怀旧剧场,http://175.8.180.226:7878/udp/239.76.254.53:9000
CCTV怀旧剧场,http://58.46.70.66:8188/udp/239.76.254.53:9000
CCTV怀旧剧场,http://113.119.26.196:58888/udp/239.253.43.5:5146
CCTV怀旧剧场,http://114.100.195.156:4022/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://111.162.204.145:8686/rtp/225.1.2.173:5002
CCTV怀旧剧场,http://121.29.141.237:4022/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://118.78.196.71:55555/rtp/226.0.2.224:9704
CCTV怀旧剧场,http://106.59.2.187:55555/rtp/239.200.200.85:8032
CCTV风云剧场,http://175.8.180.226:7878/udp/239.76.254.50:9000
CCTV风云剧场,http://58.46.70.66:8188/udp/239.76.254.50:9000
CCTV风云剧场,http://113.119.26.196:58888/udp/239.253.43.16:5146
CCTV风云剧场,http://114.100.195.156:4022/rtp/238.1.79.62:4632
CCTV风云剧场,http://111.162.204.145:8686/rtp/225.1.2.174:5002
CCTV风云剧场,http://121.29.141.237:4022/rtp/239.253.93.251:6429
CCTV风云剧场,http://118.78.196.71:55555/rtp/226.0.2.227:9728
CCTV风云剧场,http://106.59.2.187:55555/rtp/239.200.200.84:8016
CCTV第一剧场,http://175.8.180.226:7878/udp/239.76.254.49:9000
CCTV第一剧场,http://58.46.70.66:8188/udp/239.76.254.49:9000
CCTV第一剧场,http://58.48.104.165:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://113.119.26.196:58888/udp/239.253.43.15:5146
CCTV第一剧场,http://114.100.195.156:4022/rtp/238.1.79.63:4640
CCTV第一剧场,http://111.162.204.145:8686/rtp/225.1.2.175:5002
CCTV第一剧场,http://121.29.141.237:4022/rtp/239.253.93.138:6428
CCTV第一剧场,http://118.78.196.71:55555/rtp/226.0.2.221:9680
CCTV第一剧场,http://106.59.2.187:55555/rtp/239.200.200.82:8004
CCTV风云音乐,http://175.8.180.226:7878/udp/239.76.254.51:9000
CCTV风云音乐,http://58.46.70.66:8188/udp/239.76.254.51:9000
CCTV风云音乐,http://113.119.26.196:58888/udp/239.253.43.6:5146
CCTV风云音乐,http://114.100.195.156:4022/rtp/238.1.79.64:4648
CCTV风云音乐,http://111.162.204.145:8686/rtp/225.1.2.176:5002
CCTV风云音乐,http://121.29.141.237:4022/rtp/239.253.93.253:6431
CCTV风云音乐,http://118.78.196.71:55555/rtp/226.0.2.220:9672
CCTV风云音乐,http://106.59.2.187:55555/rtp/239.200.200.86:8008
CCTV兵器科技,http://175.8.180.226:7878/udp/239.76.254.59:9000
CCTV兵器科技,http://58.46.70.66:8188/udp/239.76.254.59:9000
CCTV兵器科技,http://58.48.104.165:4022/rtp/239.69.1.79:10114
