电影戏剧4gtv,#genre#
戏剧电影sport,#genre#
番薯音乐[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人间卫视[720p],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
美亚C+[1080p],http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
民视[1080p],http://37.27.111.214:8080/live/6/hls.m3u8
凤凰资讯[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
天良[1080p],http://60.248.91.20:8000/main
凤凰卫视[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
番薯音乐[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
民视第一[1080p],http://37.27.111.214:8080/live/4/hls.m3u8
中视[1080p],http://37.27.111.214:8080/live/7/hls.m3u8
人间卫视[720p],https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
香港卫视[720p],http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVB无线新闻[720p],https://stream1.freetv.fun/678d877ac436471c003e6f566eaa81b022de75dca45be60e1660efbf223765ca.m3u8
天映经典[576p],http://iptv.4666888.xyz/iptv2A.php?id=78
凤凰香港[576p],http://iptv.4666888.xyz/iptv2A.php?id=62
TVB_PULS[576p],http://iptv.4666888.xyz/iptv2A.php?id=64
TVB明珠[576p],http://iptv.4666888.xyz/iptv2A.php?id=66
TVB无线新闻[576p],http://iptv.4666888.xyz/iptv2A.php?id=65
TVBJ1[576p],http://iptv.4666888.xyz/iptv2A.php?id=71
TVB1[576p],http://iptv.4666888.xyz/iptv2A.php?id=70
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视[720p],http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
番薯台[1080p],http://61.216.67.119:1935/TWHG/E1/chunklistw70581102.m3u8
天映经典[576p],http://iptv.4666888.xyz/iptv2A.php?id=77
TVB星河国语[720p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
民视台湾[1080p],https://stream1.freetv.fun/min-shi-tai-wan-5.ctv
TVB星河国[576p],http://iptv.4666888.xyz/iptv2A.php?id=69
TVB功夫[720p],https://mgev.188766.xyz/?migutoken=791c5b14ec3b27cf6822dd2eb5fff425&id=hk_yzwx&type=dy
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-7.m3u8
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-8.m3u8
香港卫视[720p],https://stream1.freetv.fun/xiang-gang-wei-shi-11.m3u8
香港卫视[720p],https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv
无线星河[720p],https://cdn6.101.qzz.io/163189/tvbxh
香港卫视[720p],https://stream1.freetv.fun/79e4d77e2f29a2ca7f7cabbbe2ee02d32a4f2f7fb91ae94d0fb9573c9f94b4ab.ctv
靖天资讯[720p],https://stream1.freetv.fun/jing-tian-zi-xun-3.m3u8
靖天资讯[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40
东森超视[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
天映经典[1080p],https://migu.188766.xyz/?migutoken=3637f4ae3861b554c9b368728cc8b391&id=Celestial2&type=dy
天映经典[720p],https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
靖天映画[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40
靖天戏剧[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
天映经典[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
凤凰中文[576p],http://iptv.4666888.xyz/iptv2A.php?id=60
TVB生活[576p],http://iptv.4666888.xyz/iptv2A.php?id=67
凤凰资讯[1080p],https://mgev.188766.xyz/?migutoken=d0c5927dd948816300035a95a19893bc&id=hk_fhzx&type=dy
东森洋片[1080p],https://cdn.iptv8k.top/dl/jrys.php?id=232&time=20240926215313&ip=111.229.253.40
凤凰香港[1080p],https://mgev.188766.xyz/?migutoken=230b7c357e590476cbc6a5207988bb1f&id=hk_fhhk&type=dy
翡翠台[1080p],https://mgev.188766.xyz/?migutoken=1681076c3de59d09e8becea6f2a74c1e&id=hk_fct&type=dy
无线新闻[1080p],https://mgev.188766.xyz/?migutoken=fb7fb4ac197222504445c87bc1526754&id=hk_wxxw&type=dy
TVB星河[720p],https://mgev.188766.xyz/?migutoken=5379f3b89b720611c2b6dd221f6fde4f&id=hk_tvbxh&type=dy
东森超视[1080p],https://stream1.freetv.fun/dong-sen-chao-shi-8.ctv
东森超视[720p],https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
TVB翡翠*[1080p],https://stream1.freetv.fun/fei-cui-1.m3u8
爱尔达影剧[720p],https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
东森超视*[720p],https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
凤凰中文[720p],https://mgev.188766.xyz/?migutoken=42633046a618a2b1133b699f11e8a7c6&id=fhzw&pp=1
凤凰资讯[720p],https://mgev.188766.xyz/?migutoken=f828fa401cdc3c61d7f13741c95cc463&id=fhzx&pp=1
东森超视[720p],https://stream1.freetv.fun/dong-sen-chao-shi-2.m3u8
凤凰中文[1080p],https://mgev.188766.xyz/?migutoken=54098d8470726555b391b735686709df&id=hk_fhzw&type=dy
翡翠台4K[2160p],http://cdn6.163189.xyz/163189/fct4k
TVB[1080p],http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
凤凰中文[1080p],http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
TVB1[1080p],https://6.cdn.loc.cc/163189.php?id=tvb1
