港澳频道,#genre#
11.电影迷小雅,https://tv.sohu.blog/pt/douyu.php?id=9639225
1905电影网A,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905电影网A,http://php.jdshipin.com/1905.php
1905电影网A,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影网B,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
476.爱星影视,https://tv.sohu.blog/pt/douyu.php?id=9476806
791.胶星影画,https://tv.sohu.blog/pt/douyu.php?id=10760490
AXN电影台,http://43.251.226.89:8080/play/1205.m3u8
AXN电影台,http://pullpackage.alivecdn.com/live/29tIFCyC4BMkmhWA3mwKGNep2yAoDsJgqOMnhTcah84kP7az3x.flv
AXN电影台,https://smt.858.qzz.io/Smart.php?id=axn_twn
ELta影剧台,http://pullpackage.alivecdn.com/live/0wMCxCM1oSG6URf0N4REZ8mppQsZ7yp5sJgqO7DB1aSWOZqkmg.flv
EYE戏剧台,http://php.666230.xyz/smt.php?id=eyetvxiju_twn
EYE戏剧台,http://free.cnlive.club/channel/27dadb3.m3u8
EYE戏剧台,https://smt.858.qzz.io/Smart.php?id=eyetvxiju_twn
NOW爆谷星影,http://bxtv.3a.ink/api.php?id=xingying
NOW星影,http://74.91.26.218:82/live/nowxy.m3u8
TVB翡翠剧集,http://iptv.4666888.xyz/iptv2A.php?id=72
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5300&tk=97475bb89d45
TVB亚洲剧,https://stream1.freetv.fun/tvbsya-zhou-14.m3u8
TVB亚洲剧,https://stream1.freetv.fun/tvbsya-zhou-2.m3u8
TVBS台剧,http://lzo.xh.sd/gt/lgz4G.php?id=4gtv-live088
TVBS台剧,http://nmk.ioapk.com:5050/4gtv-live088/index.m3u8?proxy=true
TVBS台剧4gTV,https://tv.iill.top/4gtv/4gtv-live088&token=48647e68dff68838be9995450d03bed19da39b180b8d1b08a21fbc77deed3dde
爱尔达影剧台,https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
采昌影剧台,http://43.251.226.89:8080/play/1358.m3u8
采昌影剧台,https://t.freetv.fun/live/cai-chang-ying-ju-11.m3u8
采昌影剧台,https://t.freetv.fun/live/cai-chang-ying-ju-9.m3u8
动画片蝙蝠侠：红影迷踪,https://hd.ijycnd.com/play/zbqxpl0a/index.m3u8
东森电影台,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
东森电影台,https://stream1.freetv.fun/dong-sen-dian-ying-8.ctv
靖天戏剧*,https://stream1.freetv.fun/jing-tian-xi-ju-2.m3u8
靖天戏剧台,http://43.251.226.89:8080/play/1359.m3u8
靖天戏剧台,http://pullpackage.alivecdn.com/live/pU4fD0cP0dx6iXknYRcEzuZOQ6P6z5FsZ9KvAOPGsBry6iYBSe.flv
靖天戏剧台,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
靖天戏剧台,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv
靖天戏剧台,https://t.freetv.fun/live/jing-tian-xi-ju-11.m3u8
靖天戏剧台,https://t.freetv.fun/live/jing-tian-xi-ju-6.m3u8
靖洋戏剧台,http://43.251.226.89:8080/play/1360.m3u8
靖洋戏剧台,https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
靖洋戏剧台,https://t.freetv.fun/live/jing-yang-xi-ju-11.m3u8
靖洋戏剧台,https://t.freetv.fun/live/jing-yang-xi-ju-6.m3u8
剧情片大爱无言,https://hd.ijycnd.com/play/7axAnlby/index.m3u8
剧情片大唐狄公案之狐影迷案,https://hd.ijycnd.com/play/QbYoQKez/index.m3u8
剧情片龙华之少年归,https://hd.ijycnd.com/play/xe79zQGb/index.m3u8
剧情片梦与无线电,https://hd.ijycnd.com/play/zbqqMA7b/index.m3u8
剧情片山影迷踪,https://hd.ijycnd.com/play/xe79VzBb/index.m3u8
剧情片无线信号,https://hd.ijycnd.com/play/vbm4rnaY/index.m3u8
剧情片小事大爱,https://hd.ijycnd.com/play/negL1lZa/index.m3u8
剧情片小阴谋大爱情,https://hd.ijycnd.com/play/6dBJwYd7/index.m3u8
龙华电影台,http://cdn8.163189.xyz/163189/lhdy
龙华电影台,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华电影LiTV,https://tv.iill.top/litv/litv-xinchuang03&token=48647e68dff68838be9995450d03bed19da39b180b8d1b08a21fbc77deed3dde
龙华戏剧台,http://cdn8.163189.xyz/163189/lhxj
龙华戏剧LiTV,https://tv.iill.top/litv/litv-xinchuang18&token=48647e68dff68838be9995450d03bed19da39b180b8d1b08a21fbc77deed3dde
龙祥电影台,http://43.251.226.89:8080/play/1198.m3u8
龙祥电影台,http://43.251.226.89:8080/play/678.m3u8
龙祥电影台,http://free.cnlive.club/channel/67548a4f.m3u8
龙祥电影台,https://smt.858.qzz.io/Smart.php?id=lungxiangtime_twn
美亚电影台,http://74.91.26.218:82/live/mydy.m3u8
美亚电影台,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影台,https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
美亚电影台湾台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
三立戏剧*,https://stream1.freetv.fun/san-li-xi-ju-4.m3u8
台湾戏剧LiTV,https://tv.iill.top/litv/litv-xinchuang22&token=48647e68dff68838be9995450d03bed19da39b180b8d1b08a21fbc77deed3dde
天映电影台,https://stream1.freetv.fun/tian-ying-dian-ying-1.m3u8
纬来电影台,http://43.251.226.89:8080/play/679.m3u8
纬来电影台,http://43.251.226.89:8080/play/744.m3u8
纬来电影台,http://php.666230.xyz/smt.php?id=videolandmovie
纬来电影台,https://smt.858.qzz.io/Smart.php?id=videolandmovie
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-3.m3u8
纬来电影台,https://tv.iill.top/x/wldy
