更新时间,#genre#
20260101-18-35-00,url


RespoTime,whitelist,#genre#
18.77ms,CCTV12-社会与法,http://smart.pendy.dpdns.org/Smart.php?id=cctv12
20.28ms,湖北卫视,http://smart.pendy.dpdns.org/Smart.php?id=hubei
20.50ms,TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
20.97ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?
21.18ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
21.36ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
21.44ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?
21.48ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
21.63ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
22.01ms,深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
23.05ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
23.55ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
24.14ms,东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
29.79ms,半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
31.06ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
32.61ms,CCTV16-奥林匹克,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=402171&tk=922ba46651d3
37.25ms,东南卫视,https://live.catvod.com/live.php?id=fujian
37.55ms,半岛新闻「阿拉伯」,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
37.98ms,东森戏剧,https://live.catvod.com/live.php?id=ettvdrama
39.64ms,CCTV5-体育,https://live.catvod.com/live.php?id=cctv5
40.15ms,CCTV9-纪录,https://live.catvod.com/live.php?id=cctv9hd
41.13ms,深圳卫视,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen
41.83ms,CCTV3-综艺,https://live.catvod.com/live.php?id=cctv3
42.11ms,CCTV1-综合,https://live.catvod.com/live.php?id=cctv1
42.12ms,CCTV7-国防军事,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
42.28ms,广西卫视,https://live.catvod.com/live.php?id=guangxi
44.85ms,深圳卫视,https://live.catvod.com/live.php?id=shenzhen
46.26ms,CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
50.14ms,CCTV4-中文国际,https://live.catvod.com/live.php?id=Cctv4
50.99ms,北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
53.99ms,1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
57.65ms,CCTV8-电视剧,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=cb6a25&tk=922ba46651d3
